,Date,R,Casa v Visitante,-
5,03/30 06:36,-,Liverpool (Boulevard_Prospect) EsportsvReal Madrid (vrico) Esports,0-3
6,03/30 06:36,-,Barcelona (Arcos) EsportsvPSG (Hrusch) Esports,3-1
7,03/30 06:28,-,Spartak Moscow (KravaRK) EsportsvDynamo Kyiv (Skromnuy) Esports,2-1
8,03/30 06:26,-,Shakhtar Donetsk (Lomik) EsportsvCSKA Moscow (Kodak) Esports,0-0
9,03/30 06:24,-,PSG (Hrusch) EsportsvLiverpool (Boulevard_Prospect) Esports,2-1
10,03/30 06:22,-,Real Madrid (vrico) EsportsvMan City (nikkitta) Esports,1-1
11,03/30 06:16,-,Spartak Moscow (KravaRK) EsportsvCSKA Moscow (Kodak) Esports,1-2
12,03/30 06:14,-,Lokomotiv Moscow (Mr.Jab) EsportsvDynamo Kyiv (Skromnuy) Esports,1-3
13,03/30 06:12,-,Man City (nikkitta) EsportsvPSG (Hrusch) Esports,0-0
14,03/30 06:09,-,Liverpool (Boulevard_Prospect) EsportsvBarcelona (Arcos) Esports,2-0
15,03/30 06:04,-,CSKA Moscow (Kodak) EsportsvLokomotiv Moscow (Mr.Jab) Esports,0-3
16,03/30 06:03,-,Shakhtar Donetsk (Lomik) EsportsvSpartak Moscow (KravaRK) Esports,2-0
17,03/30 06:01,-,Barcelona (Arcos) EsportsvMan City (nikkitta) Esports,1-2
18,03/30 05:58,-,PSG (Hrusch) EsportsvReal Madrid (vrico) Esports,1-0
19,03/30 05:52,-,Lokomotiv Moscow (Mr.Jab) EsportsvShakhtar Donetsk (Lomik) Esports,1-1
20,03/30 05:51,-,Dynamo Kyiv (Skromnuy) EsportsvCSKA Moscow (Kodak) Esports,1-0
21,03/30 05:48,-,Barcelona (Arcos) EsportsvReal Madrid (vrico) Esports,0-1
22,03/30 05:48,-,Liverpool (Boulevard_Prospect) EsportsvMan City (nikkitta) Esports,1-1
23,03/30 05:37,-,Shakhtar Donetsk (Lomik) EsportsvDynamo Kyiv (Skromnuy) Esports,1-1
24,03/30 05:37,-,Spartak Moscow (KravaRK) EsportsvLokomotiv Moscow (Mr.Jab) Esports,3-1
25,03/30 05:37,-,PSG (Hrusch) EsportsvBarcelona (Arcos) Esports,1-2
26,03/30 05:36,-,Real Madrid (vrico) EsportsvLiverpool (Boulevard_Prospect) Esports,2-0
27,03/30 05:27,-,Man City (nikkitta) EsportsvReal Madrid (vrico) Esports,0-1
28,03/30 05:26,-,Liverpool (Boulevard_Prospect) EsportsvPSG (Hrusch) Esports,0-2
29,03/30 05:19,-,PSG (Hrusch) EsportsvMan City (nikkitta) Esports,0-0
0,03/30 08:34,-,Man Utd (Arcos) EsportsvTottenham (Hrusch) Esports,0-1
1,03/30 08:33,-,Man City (Boulevard_Prospect) EsportsvLiverpool (vrico) Esports,1-2
2,03/30 08:30,-,Leverkusen (Lomik) EsportsvBayern (Kodak) Esports,0-2
3,03/30 08:28,-,Dortmund (KravaRK) EsportsvLeipzig (Skromnuy) Esports,4-2
4,03/30 08:22,-,Liverpool (vrico) EsportsvArsenal (nikkitta) Esports,0-1
5,03/30 08:18,-,Tottenham (Hrusch) EsportsvMan City (Boulevard_Prospect) Esports,0-1
6,03/30 08:18,-,M'Gladbach (Mr.Jab) EsportsvLeipzig (Skromnuy) Esports,3-1
7,03/30 08:16,-,Dortmund (KravaRK) EsportsvBayern (Kodak) Esports,1-2
8,03/30 08:10,-,Man City (Boulevard_Prospect) EsportsvMan Utd (Arcos) Esports,1-1
9,03/30 08:08,-,Arsenal (nikkitta) EsportsvTottenham (Hrusch) Esports,0-0
10,03/30 08:06,-,Leverkusen (Lomik) EsportsvDortmund (KravaRK) Esports,0-4
11,03/30 08:06,-,Bayern (Kodak) EsportsvM'Gladbach (Mr.Jab) Esports,1-1
12,03/30 07:57,-,Tottenham (Hrusch) EsportsvLiverpool (vrico) Esports,2-0
13,03/30 07:57,-,Man Utd (Arcos) EsportsvArsenal (nikkitta) Esports,1-2
14,03/30 07:54,-,Leipzig (Skromnuy) EsportsvBayern (Kodak) Esports,1-1
15,03/30 07:54,-,M'Gladbach (Mr.Jab) EsportsvLeverkusen (Lomik) Esports,0-3
16,03/30 07:45,-,Man City (Boulevard_Prospect) EsportsvArsenal (nikkitta) Esports,0-1
17,03/30 07:44,-,Man Utd (Arcos) EsportsvLiverpool (vrico) Esports,2-2
18,03/30 07:43,-,Leverkusen (Lomik) EsportsvLeipzig (Skromnuy) Esports,4-0
19,03/30 07:40,-,Dortmund (KravaRK) EsportsvM'Gladbach (Mr.Jab) Esports,0-1
20,03/30 07:36,-,Liverpool (vrico) EsportsvMan City (Boulevard_Prospect) Esports,1-1
21,03/30 07:36,-,Tottenham (Hrusch) EsportsvMan Utd (Arcos) Esports,1-0
22,03/30 07:16,-,CSKA Moscow (Kodak) EsportsvSpartak Moscow (KravaRK) Esports,0-0
23,03/30 07:09,-,Man Utd (Arcos) EsportsvMan City (Boulevard_Prospect) Esports,1-0
24,03/30 07:09,-,Tottenham (Hrusch) EsportsvArsenal (nikkitta) Esports,0-0
25,03/30 07:06,-,Liverpool (vrico) EsportsvTottenham (Hrusch) Esports,0-0
26,03/30 07:05,-,Lokomotiv Moscow (Mr.Jab) EsportsvCSKA Moscow (Kodak) Esports,0-2
27,03/30 07:03,-,Dynamo Kyiv (Skromnuy) EsportsvLokomotiv Moscow (Mr.Jab) Esports,0-0
28,03/30 07:01,-,Spartak Moscow (KravaRK) EsportsvShakhtar Donetsk (Lomik) Esports,4-1
29,03/30 06:53,-,Shakhtar Donetsk (Lomik) EsportsvLokomotiv Moscow (Mr.Jab) Esports,2-1
0,03/30 10:34,-,Tottenham (Chellovekk) EsportsvLiverpool (Pablik) Esports,1-3
1,03/30 10:33,-,Arsenal (Blackstar98) EsportsvMan United (Olle) Esports,2-1
2,03/30 10:27,-,Bayern (Hrusch) EsportsvPSG (vrico) Esports,2-2
3,03/30 10:27,-,Tottenham (Arcos) EsportsvNapoli (nikkitta) Esports,1-1
4,03/30 10:24,-,Liverpool (Pablik) EsportsvMan United (Olle) Esports,0-0
5,03/30 10:24,-,Man City (mooneycb) EsportsvTottenham (Chellovekk) Esports,0-0
6,03/30 10:18,-,Real Madrid (Boulevard_Prospect) EsportsvNapoli (nikkitta) Esports,1-1
7,03/30 10:16,-,Tottenham (Arcos) EsportsvPSG (vrico) Esports,1-3
8,03/30 10:12,-,Arsenal (Blackstar98) EsportsvLiverpool (Pablik) Esports,1-1
9,03/30 10:12,-,Man United (Olle) EsportsvArsenal (Blackstar98) Esports,1-2
10,03/30 10:09,-,Man United (Olle) EsportsvMan City (mooneycb) Esports,1-1
11,03/30 10:03,-,Bayern (Hrusch) EsportsvTottenham (Arcos) Esports,0-0
12,03/30 10:02,-,PSG (vrico) EsportsvReal Madrid (Boulevard_Prospect) Esports,1-0
13,03/30 10:00,-,Tottenham (Chellovekk) EsportsvMan United (Olle) Esports,2-1
14,03/30 09:51,-,Napoli (nikkitta) EsportsvPSG (vrico) Esports,4-0
15,03/30 09:51,-,Real Madrid (Boulevard_Prospect) EsportsvBayern (Hrusch) Esports,0-1
16,03/30 09:39,-,Tottenham (Arcos) EsportsvReal Madrid (Boulevard_Prospect) Esports,0-1
17,03/30 09:38,-,Bayern (Hrusch) EsportsvNapoli (nikkitta) Esports,0-1
18,03/30 09:31,-,Napoli (nikkitta) EsportsvTottenham (Arcos) Esports,1-1
19,03/30 09:23,-,PSG (vrico) EsportsvBayern (Hrusch) Esports,0-2
20,03/30 09:18,-,Leipzig (Skromnuy) EsportsvM'Gladbach (Mr.Jab) Esports,2-1
21,03/30 09:15,-,Bayern (Kodak) EsportsvDortmund (KravaRK) Esports,2-2
22,03/30 09:06,-,Dortmund (KravaRK) EsportsvLeverkusen (Lomik) Esports,4-0
23,03/30 09:05,-,M'Gladbach (Mr.Jab) EsportsvBayern (Kodak) Esports,1-1
24,03/30 08:54,-,Bayern (Kodak) EsportsvLeipzig (Skromnuy) Esports,2-2
25,03/30 08:52,-,Leverkusen (Lomik) EsportsvM'Gladbach (Mr.Jab) Esports,1-0
26,03/30 08:48,-,Arsenal (nikkitta) EsportsvMan City (Boulevard_Prospect) Esports,0-0
27,03/30 08:44,-,Liverpool (vrico) EsportsvMan Utd (Arcos) Esports,2-0
28,03/30 08:42,-,M'Gladbach (Mr.Jab) EsportsvDortmund (KravaRK) Esports,2-2
29,03/30 08:41,-,Leipzig (Skromnuy) EsportsvLeverkusen (Lomik) Esports,1-0
0,03/30 12:16,-,Portugal (Boulevard_Prospect) EsportsvItaly (nikkitta) Esports,0-0
1,03/30 12:10,-,Germany (Olle) EsportsvBelgium (mooneycb) Esports,2-0
2,03/30 12:05,-,Portugal (Boulevard_Prospect) EsportsvSpain (vrico) Esports,0-3
3,03/30 12:03,-,Holland (Hrusch) EsportsvEngland (Arcos) Esports,0-0
4,03/30 11:53,-,Brazil (Chellovekk) EsportsvGermany (Olle) Esports,1-0
5,03/30 11:52,-,Italy (nikkitta) EsportsvSpain (vrico) Esports,0-0
6,03/30 11:48,-,Tottenham (Chellovekk) EsportsvArsenal (Blackstar98) Esports,1-1
7,03/30 11:48,-,Man City (mooneycb) EsportsvLiverpool (Pablik) Esports,3-0
8,03/30 11:47,-,Portugal (Boulevard_Prospect) EsportsvHolland (Hrusch) Esports,1-0
9,03/30 11:40,-,England (Arcos) EsportsvPortugal (Boulevard_Prospect) Esports,2-2
10,03/30 11:36,-,Liverpool (Pablik) EsportsvTottenham (Chellovekk) Esports,1-1
11,03/30 11:33,-,Holland (Hrusch) EsportsvItaly (nikkitta) Esports,0-0
12,03/30 11:30,-,Italy (nikkitta) EsportsvEngland (Arcos) Esports,2-1
13,03/30 11:27,-,Spain (vrico) EsportsvHolland (Hrusch) Esports,0-1
14,03/30 11:24,-,Tottenham (Chellovekk) EsportsvMan City (mooneycb) Esports,1-1
15,03/30 11:24,-,Man United (Olle) EsportsvLiverpool (Pablik) Esports,1-1
16,03/30 11:18,-,Napoli (nikkitta) EsportsvReal Madrid (Boulevard_Prospect) Esports,0-2
17,03/30 11:18,-,PSG (vrico) EsportsvTottenham (Arcos) Esports,0-2
18,03/30 11:12,-,Liverpool (Pablik) EsportsvArsenal (Blackstar98) Esports,0-2
19,03/30 11:10,-,Man City (mooneycb) EsportsvMan United (Olle) Esports,0-0
20,03/30 11:03,-,Tottenham (Arcos) EsportsvBayern (Hrusch) Esports,2-1
21,03/30 11:00,-,Man United (Olle) EsportsvTottenham (Chellovekk) Esports,2-0
22,03/30 10:58,-,Arsenal (Blackstar98) EsportsvMan City (mooneycb) Esports,1-1
23,03/30 10:58,-,Real Madrid (Boulevard_Prospect) EsportsvPSG (vrico) Esports,0-0
24,03/30 10:52,-,PSG (vrico) EsportsvNapoli (nikkitta) Esports,1-0
25,03/30 10:48,-,Liverpool (Pablik) EsportsvMan City (mooneycb) Esports,1-3
26,03/30 10:46,-,Bayern (Hrusch) EsportsvReal Madrid (Boulevard_Prospect) Esports,1-0
27,03/30 10:46,-,Arsenal (Blackstar98) EsportsvTottenham (Chellovekk) Esports,1-1
28,03/30 10:40,-,Real Madrid (Boulevard_Prospect) EsportsvTottenham (Arcos) Esports,1-1
29,03/30 10:35,-,Napoli (nikkitta) EsportsvBayern (Hrusch) Esports,1-3
0,03/30 14:21,-,Real Madrid (taka) EsportsvPSG (FEARGGWP) Esports,0-1
1,03/30 14:09,-,Real Madrid (taka) EsportsvTottenham (Flewless_phoenix) Esports,1-4
2,03/30 14:09,-,Napoli (Kalibra) EsportsvBayern (PASHOK75) Esports,1-0
3,03/30 13:53,-,PSG (FEARGGWP) EsportsvTottenham (Flewless_phoenix) Esports,2-0
4,03/30 13:51,-,Real Madrid (taka) EsportsvNapoli (Kalibra) Esports,1-1
5,03/30 13:48,-,Brazil (Chellovekk) EsportsvPortugal (BlackStar98) Esports,1-2
6,03/30 13:48,-,Belgium (mooneycb) EsportsvSpain (Pablik) Esports,1-3
7,03/30 13:36,-,Portugal (BlackStar98) EsportsvGermany (Olle) Esports,1-0
8,03/30 13:36,-,Spain (Pablik) EsportsvBrazil (Chellovekk) Esports,2-1
9,03/30 13:24,-,Germany (Olle) EsportsvSpain (Pablik) Esports,0-0
10,03/30 13:18,-,Spain (vrico) EsportsvEngland (Arcos) Esports,1-2
11,03/30 13:16,-,Italy (nikkitta) EsportsvPortugal (Boulevard_Prospect) Esports,0-3
12,03/30 13:12,-,Belgium (mooneycb) EsportsvGermany (Olle) Esports,0-1
13,03/30 13:03,-,England (Arcos) EsportsvHolland (Hrusch) Esports,2-1
14,03/30 13:00,-,Portugal (BlackStar98) EsportsvBelgium (mooneycb) Esports,0-0
15,03/30 13:00,-,Germany (Olle) EsportsvBrazil (Chellovekk) Esports,0-2
16,03/30 12:54,-,Holland (Hrusch) EsportsvPortugal (Boulevard_Prospect) Esports,1-2
17,03/30 12:51,-,Spain (vrico) EsportsvItaly (nikkitta) Esports,0-0
18,03/30 12:48,-,Portugal (BlackStar98) EsportsvBrazil (Chellovekk) Esports,3-1
19,03/30 12:48,-,Spain (Pablik) EsportsvBelgium (mooneycb) Esports,0-0
20,03/30 12:42,-,Italy (nikkitta) EsportsvHolland (Hrusch) Esports,0-0
21,03/30 12:38,-,Portugal (Boulevard_Prospect) EsportsvEngland (Arcos) Esports,0-0
22,03/30 12:36,-,Brazil (Chellovekk) EsportsvSpain (Pablik) Esports,0-2
23,03/30 12:36,-,Germany (Olle) EsportsvPortugal (BlackStar98) Esports,4-1
24,03/30 12:30,-,England (Arcos) EsportsvItaly (nikkitta) Esports,0-0
25,03/30 12:26,-,Holland (Hrusch) EsportsvSpain (vrico) Esports,0-1
26,03/30 12:19,-,Brazil (Chellovekk) EsportsvBelgium (mooneycb) Esports,1-0
27,03/30 12:18,-,Spain (Pablik) EsportsvGermany (Olle) Esports,3-0
28,03/30 12:18,-,England (Arcos) EsportsvSpain (vrico) Esports,1-0
29,03/30 12:17,-,Spain (Pablik) EsportsvPortugal (BlackStar98) Esports,0-3
0,03/30 15:51,-,Leverkusen (Olle) EsportsvAjax (Pablik) Esports,1-0
1,03/30 15:48,-,Real Madrid (taka) EsportsvBayern (PASHOK75) Esports,3-0
2,03/30 15:48,-,PSG (FEARGGWP) EsportsvNapoli (Kalibra) Esports,0-3
3,03/30 15:47,-,Arsenal (FEARGGWP) EsportsvManUnited (PASHOK75) Esports,0-0
4,03/30 15:42,-,Ajax (Pablik) EsportsvValencia (BlackStar98) Esports,0-2
5,03/30 15:42,-,Man Utd (mooneycb) EsportsvLeverkusen (Olle) Esports,2-0
6,03/30 15:36,-,Napoli (Kalibra) EsportsvTottenham (Flewless_phoenix) Esports,1-0
7,03/30 15:36,-,Bayern (PASHOK75) EsportsvPSG (FEARGGWP) Esports,1-1
8,03/30 15:30,-,Leverkusen (Olle) EsportsvPorto (Chellovekk) Esports,4-2
9,03/30 15:30,-,Valencia (BlackStar98) EsportsvMan Utd (mooneycb) Esports,3-0
10,03/30 15:24,-,PSG (FEARGGWP) EsportsvReal Madrid (taka) Esports,3-0
11,03/30 15:24,-,Tottenham (Flewless_phoenix) EsportsvBayern (PASHOK75) Esports,1-0
12,03/30 15:18,-,Ajax (Pablik) EsportsvMan Utd (mooneycb) Esports,0-1
13,03/30 15:18,-,Valencia (BlackStar98) EsportsvPorto (Chellovekk) Esports,2-1
14,03/30 15:12,-,Bayern (PASHOK75) EsportsvNapoli (Kalibra) Esports,0-3
15,03/30 15:06,-,Porto (Chellovekk) EsportsvAjax (Pablik) Esports,5-0
16,03/30 15:06,-,Leverkusen (Olle) EsportsvValencia (BlackStar98) Esports,0-3
17,03/30 15:00,-,Tottenham (Flewless_phoenix) EsportsvPSG (FEARGGWP) Esports,1-1
18,03/30 15:00,-,Napoli (Kalibra) EsportsvReal Madrid (taka) Esports,1-0
19,03/30 14:54,-,Man Utd (mooneycb) EsportsvPorto (Chellovekk) Esports,2-0
20,03/30 14:54,-,Ajax (Pablik) EsportsvLeverkusen (Olle) Esports,1-3
21,03/30 14:48,-,Bayern (PASHOK75) EsportsvReal Madrid (taka) Esports,3-1
22,03/30 14:48,-,Napoli (Kalibra) EsportsvPSG (FEARGGWP) Esports,0-2
23,03/30 14:42,-,Valencia (BlackStar98) EsportsvAjax (Pablik) Esports,1-2
24,03/30 14:42,-,Leverkusen (Olle) EsportsvMan Utd (mooneycb) Esports,0-0
25,03/30 14:36,-,Tottenham (Flewless_phoenix) EsportsvNapoli (Kalibra) Esports,0-1
26,03/30 14:36,-,PSG (FEARGGWP) EsportsvBayern (PASHOK75) Esports,0-1
27,03/30 14:30,-,Porto (Chellovekk) EsportsvLeverkusen (Olle) Esports,1-0
28,03/30 14:25,-,Man Utd (mooneycb) EsportsvValencia (BlackStar98) Esports,1-1
29,03/30 14:24,-,Bayern (PASHOK75) EsportsvTottenham (Flewless_phoenix) Esports,0-2
0,03/30 17:18,-,Man City (Pablik) EsportsvLiverpool (mooneycb) Esports,1-1
1,03/30 17:17,-,PSG (Chellovekk) EsportsvReal Madrid (BlackStar98) Esports,0-0
2,03/30 17:12,-,ManUnited (PASHOK75) EsportsvTottenham (kalibra) Esports,2-1
3,03/30 17:12,-,Liverpool (taka) EsportsvMan City (Flewless_phoenix) Esports,1-1
4,03/30 17:06,-,Barcelona (Olle) EsportsvReal Madrid (BlackStar98) Esports,1-1
5,03/30 17:06,-,PSG (Chellovekk) EsportsvMan City (Pablik) Esports,0-0
6,03/30 17:00,-,Man City (Flewless_phoenix) EsportsvArsenal (FEARGGWP) Esports,0-0
7,03/30 16:54,-,Man City (Pablik) EsportsvBarcelona (Olle) Esports,0-1
8,03/30 16:54,-,Liverpool (mooneycb) EsportsvPSG (Chellovekk) Esports,0-0
9,03/30 16:48,-,Man United (PASHOK75) EsportsvLiverpool (taka) Esports,2-1
10,03/30 16:48,-,Tottenham (kalibra) EsportsvArsenal (FEARGGWP) Esports,0-0
11,03/30 16:43,-,Man City (Pablik) EsportsvReal Madrid (BlackStar98) Esports,1-3
12,03/30 16:42,-,Barcelona (Olle) EsportsvLiverpool (mooneycb) Esports,2-0
13,03/30 16:36,-,ManCity (Flewless_phoenix) EsportsvTottenham (kalibra) Esports,1-0
14,03/30 16:31,-,PSG (Chellovekk) EsportsvBarcelona (Olle) Esports,1-1
15,03/30 16:29,-,Real Madrid (BlackStar98) EsportsvPSG (Chellovekk) Esports,1-0
16,03/30 16:28,-,Liverpool (mooneycb) EsportsvReal Madrid (BlackStar98) Esports,1-0
17,03/30 16:24,-,ManUnited (PASHOK75) EsportsvManCity (Flewless_phoenix) Esports,1-0
18,03/30 16:19,-,Real Madrid (BlackStar98) EsportsvMan City (Pablik) Esports,0-2
19,03/30 16:18,-,Man Utd (mooneycb) EsportsvAjax (Pablik) Esports,0-0
20,03/30 16:18,-,Porto (Chellovekk) EsportsvValencia (BlackStar98) Esports,0-2
21,03/30 16:16,-,Liverpool (taka) EsportsvArsenal (FEARGGWP) Esports,0-3
22,03/30 16:13,-,Tottenham (kalibra) EsportsvManUnited (PASHOK75) Esports,2-1
23,03/30 16:12,-,ManCity (Flewless_phoenix) EsportsvLiverpool (taka) Esports,4-0
24,03/30 16:08,-,ManUnited (PASHOK75) EsportsvArsenal (FEARGGWP) Esports,2-1
25,03/30 16:08,-,Tottenham (kalibra) EsportsvLiverpool (taka) Esports,1-2
26,03/30 16:06,-,Ajax (Pablik) EsportsvPorto (Chellovekk) Esports,1-2
27,03/30 16:06,-,Valencia (BlackStar98) EsportsvLeverkusen (Olle) Esports,0-0
28,03/30 16:03,-,Arsenal (FEARGGWP) EsportsvManCity (Flewless_phoenix) Esports,1-0
29,03/30 15:54,-,Porto (Chellovekk) EsportsvMan Utd (mooneycb) Esports,0-0
0,03/30 20:06,-,Atletico Madrid (kalibra) EsportsvInter (Flewless_phoenix) Esports,0-1
1,03/30 19:55,-,Inter (Flewless_phoenix) EsportsvChelsea (PASHOK75) Esports,0-1
2,03/30 19:54,-,Ajax (FEARGGWP) EsportsvDortmund (taka) Esports,1-1
3,03/30 19:42,-,Dortmund (taka) EsportsvInter (Flewless_phoenix) Esports,3-1
4,03/30 19:42,-,Chelsea (PASHOK75) EsportsvAtletico Madrid (kalibra) Esports,0-0
5,03/30 19:30,-,Atletico Madrid (kalibra) EsportsvDortmund (taka) Esports,4-1
6,03/30 19:30,-,Inter (Flewless_phoenix) EsportsvAjax (FEARGGWP) Esports,0-0
7,03/30 19:18,-,Atletico Madrid (kalibra) EsportsvAjax (FEARGGWP) Esports,1-1
8,03/30 19:18,-,Chelsea (PASHOK75) EsportsvDortmund (taka) Esports,2-2
9,03/30 19:06,-,Ajax (FEARGGWP) EsportsvChelsea (PASHOK75) Esports,3-0
10,03/30 19:06,-,Inter (Flewless_phoenix) EsportsvAtletico Madrid (kalibra) Esports,2-0
11,03/30 18:54,-,Chelsea (PASHOK75) EsportsvInter (Flewless_phoenix) Esports,1-0
12,03/30 18:54,-,Dortmund (taka) EsportsvAjax (FEARGGWP) Esports,1-2
13,03/30 18:42,-,Inter (Flewless_phoenix) EsportsvDortmund (taka) Esports,3-1
14,03/30 18:42,-,Atletico Madrid (kalibra) EsportsvChelsea (PASHOK75) Esports,2-0
15,03/30 18:30,-,Dortmund (taka) EsportsvAtletico Madrid (kalibra) Esports,1-2
16,03/30 18:30,-,Ajax (FEARGGWP) EsportsvInter (Flewless_phoenix) Esports,0-0
17,03/30 18:18,-,Liverpool (mooneycb) EsportsvMan City (Pablik) Esports,1-1
18,03/30 18:06,-,Man City (Pablik) EsportsvPSG (Chellovekk) Esports,0-1
19,03/30 18:06,-,Real Madrid (BlackStar98) EsportsvBarcelona (Olle) Esports,0-0
20,03/30 17:54,-,Barcelona (Olle) EsportsvMan City (Pablik) Esports,1-0
21,03/30 17:54,-,PSG (Chellovekk) EsportsvLiverpool (mooneycb) Esports,2-0
22,03/30 17:48,-,Arsenal (FEARGGWP) EsportsvTottenham (kalibra) Esports,0-0
23,03/30 17:48,-,Liverpool (taka) EsportsvManUnited (PASHOK75) Esports,2-3
24,03/30 17:42,-,Liverpool (mooneycb) EsportsvBarcelona (Olle) Esports,0-0
25,03/30 17:36,-,Tottenham (kalibra) EsportsvMan City (Flewless_phoenix) Esports,2-1
26,03/30 17:30,-,Barcelona (Olle) EsportsvPSG (Chellovekk) Esports,0-2
27,03/30 17:30,-,Real Madrid (BlackStar98) EsportsvLiverpool (mooneycb) Esports,1-0
28,03/30 17:24,-,Arsenal (FEARGGWP) EsportsvLiverpool (taka) Esports,1-1
29,03/30 17:24,-,Man City (Flewless_phoenix) EsportsvManUnited (PASHOK75) Esports,0-1
0,03/30 21:42,-,Tottenham (MeLToSiK) EsportsvMan United (Upcake22) Esports,0-0
1,03/30 21:42,-,Germany (PASHOK75) EsportsvSpain (kalibra) Esports,1-2
2,03/30 21:42,-,Liverpool (Kray) EsportsvMan City (KRaftVK) Esports,2-1
3,03/30 21:42,-,France (TAKA) EsportsvBelgium (Flewless_phoenix) Esports,0-5
4,03/30 21:30,-,Belgium (Flewless_phoenix) EsportsvPortugal (FEARGGWP) Esports,1-2
5,03/30 21:30,-,Man United (Upcake22) EsportsvArsenal (labotryas) Esports,3-2
6,03/30 21:30,-,Spain (kalibra) EsportsvFrance (TAKA) Esports,2-0
7,03/30 21:18,-,Man City (KRaftVK) EsportsvArsenal (labotryas) Esports,4-1
8,03/30 21:18,-,Spain (kalibra) EsportsvPortugal (FEARGGWP) Esports,1-1
9,03/30 21:18,-,Liverpool (Kray) EsportsvTottenham (MeLToSiK) Esports,2-0
10,03/30 21:16,-,France (TAKA) EsportsvGermany (PASHOK75) Esports,0-1
11,03/30 21:06,-,Belgium (Flewless_phoenix) EsportsvSpain (kalibra) Esports,2-2
12,03/30 21:06,-,Arsenal (labotryas) EsportsvLiverpool (Kray) Esports,0-0
13,03/30 21:06,-,Man United (Upcake22) EsportsvMan City (KRaftVK) Esports,0-2
14,03/30 20:58,-,Portugal (FEARGGWP) EsportsvGermany (PASHOK75) Esports,0-0
15,03/30 20:54,-,France (TAKA) EsportsvPortugal (FEARGGWP) Esports,1-2
16,03/30 20:54,-,Germany (PASHOK75) EsportsvBelgium (Flewless_phoenix) Esports,1-3
17,03/30 20:54,-,Tottenham (MeLToSiK) EsportsvArsenal (labotryas) Esports,2-0
18,03/30 20:52,-,Liverpool (Kray) EsportsvMan United (Upcake22) Esports,1-1
19,03/30 20:42,-,Man United (Upcake22) EsportsvTottenham (MeLToSiK) Esports,0-0
20,03/30 20:42,-,Spain (kalibra) EsportsvGermany (PASHOK75) Esports,1-1
21,03/30 20:40,-,Belgium (Flewless_phoenix) EsportsvFrance (TAKA) Esports,4-0
22,03/30 20:39,-,Man City (KRaftVK) EsportsvTottenham (MeLToSiK) Esports,2-1
23,03/30 20:34,-,Man City (KRaftVK) EsportsvLiverpool (Kray) Esports,2-1
24,03/30 20:30,-,Portugal (FEARGGWP) EsportsvBelgium (Flewless_phoenix) Esports,0-1
25,03/30 20:28,-,France (TAKA) EsportsvSpain (kalibra) Esports,1-0
26,03/30 20:19,-,Germany (PASHOK75) EsportsvFrance (TAKA) Esports,3-1
27,03/30 20:18,-,Ajax (FEARGGWP) EsportsvAtletico Madrid (kalibra) Esports,1-2
28,03/30 20:18,-,Dortmund (taka) EsportsvChelsea (PASHOK75) Esports,2-2
29,03/30 20:06,-,Chelsea (PASHOK75) EsportsvAjax (FEARGGWP) Esports,1-1
0,03/31 00:25,-,Napoli (MeLToSiK) EsportsvBayern (Kray) Esports,0-0
1,03/31 00:18,-,Tottenham (labotryas) EsportsvPSG (KRaftVK) Esports,2-1
2,03/31 00:06,-,Bayern (Kray) EsportsvTottenham (labotryas) Esports,0-0
3,03/30 23:54,-,Real Madrid (Upcake22) EsportsvBayern (Kray) Esports,0-0
4,03/30 23:53,-,Tottenham (labotryas) EsportsvNapoli (MeLToSiK) Esports,0-0
5,03/30 23:42,-,Bayern (Kray) EsportsvPSG (KRaftVK) Esports,0-1
6,03/30 23:42,-,Napoli (MeLToSiK) EsportsvReal Madrid (Upcake22) Esports,0-3
7,03/30 23:31,-,Real Madrid (Upcake22) EsportsvTottenham (labotryas) Esports,0-1
8,03/30 23:30,-,PSG (KRaftVK) EsportsvNapoli (MeLToSiK) Esports,0-2
9,03/30 23:18,-,Bayern (Kray) EsportsvNapoli (MeLToSiK) Esports,1-2
10,03/30 23:18,-,PSG (KRaftVK) EsportsvTottenham (labotryas) Esports,1-1
11,03/30 23:07,-,Tottenham (labotryas) EsportsvBayern (Kray) Esports,1-0
12,03/30 23:04,-,Real Madrid (Upcake22) EsportsvPSG (KRaftVK) Esports,0-2
13,03/30 22:54,-,Bayern (Kray) EsportsvReal Madrid (Upcake22) Esports,1-1
14,03/30 22:54,-,Napoli (MeLToSiK) EsportsvTottenham (labotryas) Esports,1-1
15,03/30 22:40,-,PSG (KRaftVK) EsportsvBayern (Kray) Esports,1-2
16,03/30 22:38,-,Real Madrid (Upcake22) EsportsvNapoli (MeLToSiK) Esports,0-1
17,03/30 22:30,-,Napoli (MeLToSiK) EsportsvPSG (KRaftVK) Esports,0-1
18,03/30 22:30,-,Tottenham (labotryas) EsportsvReal Madrid (Upcake22) Esports,0-2
19,03/30 22:18,-,Portugal (FEARGGWP) EsportsvSpain (kalibra) Esports,0-0
20,03/30 22:18,-,Arsenal (labotryas) EsportsvMan City (KRaftVK) Esports,2-0
21,03/30 22:18,-,Tottenham (MeLToSiK) EsportsvLiverpool (Kray) Esports,1-1
22,03/30 22:07,-,Spain (kalibra) EsportsvBelgium (Flewless_phoenix) Esports,0-0
23,03/30 22:07,-,Germany (PASHOK75) EsportsvPortugal (FEARGGWP) Esports,2-2
